event_id,timestamp_utc,app_name,service_name,environment,region,tenant_id,trace_id,span_id,correlation_id,user_id,account_id,session_id,device_id,source_ip,source_country,asn,user_agent,http_method,endpoint,query_string,request_body,request_bytes,latency_ms,response_code,response_bytes,detected_by,waf_rule_id,action,severity,confidence,is_nosql_injection,injection_type,target_field,attack_stage,threat_actor_tag,risk_tier,case_id,mitre_attack_technique,notes,geo_lat,geo_lon,rate_limited,pii_exposure_risk,blockchain_platform,channel_or_network,ledger_committed,tx_hash,block_height,block_hash,smart_contract,contract_function,onchain_event_type
85f2edb5-caa8-425d-bc81-e933c19eb9b0,2026-02-23T06:00:00Z,kyc-service,ledger-writer,prod,eu-west-1,t_1,7f3238c5-11cc-4ac7-bb2c-9cc5e588973a,spn_31vlln2ch1ic,24ec2e91-e408-4260-a587-a6bd5e993622,u_p98geq,acc_if5ulo9s,,dev_keg9u7n5qj,251.110.227.27,GB,15169,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,GET,/api/v1/users,q=status%3AOK,,1690,168,200,2839,anomaly_model,,ALLOW,low,0.35,0,,,,unknown,low,,,,57.807371,-2.926812,0,0,Quorum,payments,1,0x49a305a243c81168a12b644f4956df53b30e6d6e7208ae1958248e17cf32ff70,540002,0xe6e9d2c36dd2368613be08c0d198a4696a770973cc7271261780a1bc8086f2df,FraudTracker,flagSuspect,RISK_UPDATE
7dce672e-1ce1-4414-9958-3f89cd5e4688,2026-02-23T06:00:06Z,wallet-service,search,prod,ap-southeast-1,t_3,ca01069e-98bb-4979-9eaf-2984fa77736c,spn_86f27cm1f6j3,687895a4-dc4f-4a12-9fb7-523893dfe7df,u_j1b48q,,sess_kwpnbrwbbukstoke,,152.68.158.130,DE,16509,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,GET,/api/v1/users/search,q=status%3AOK,,858,331,401,3520,ids,,LOG,info,0.35,0,,,,crawler,low,,,,44.554272,101.576208,0,0,Quorum,settlement,0,,,,FraudTracker,recordEvent,RISK_UPDATE
7cceee84-067f-4bb8-acbc-8ac6c0fc572e,2026-02-23T06:00:15Z,kyc-service,api-gateway,prod,ap-southeast-1,t_2,04b67e2a-4110-4835-97cd-6546c7adc442,spn_ojaxumxp70i6,a6507ea7-48c0-4fca-b4d5-ab59bd2b4199,u_za40q0,,sess_4794tqtaa8i52ovu,dev_sg64hf6gnv,61.41.15.234,GB,15169,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,POST,/api/v1/kyc/submit,,"{""$regex"": "".*""}",878,60,200,3465,waf,953110,CHALLENGE,low,0.56,1,regex_injection,criteria,recon,unknown,medium,,T1190,NoSQL Injection: $where / JavaScript Execution,-36.082537,163.645115,0,0,HyperledgerFabric,payments,0,,,,FraudTracker,freezeAccount,SUSPECT_FLAG
8ea2202a-6172-4b2d-ad57-a22ea3a62e2a,2026-02-23T06:00:26Z,kyc-service,search,prod,us-east-1,t_1,6a58c6c5-9caa-4a05-afa6-5fb84370a210,spn_tx51znihb861,3286dbf8-46d5-4470-b8b4-1b91f892da8a,,,sess_oo6d5ahj6sn5iqt1,dev_hzrdwc2z2w,203.194.166.53,US,20940,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,GET,/api/v1/login,q=status%3AOK,,1023,401,201,2985,ids,,ALLOW,low,0.35,0,,,,legit_user,low,,,,-44.873154,-13.67353,0,0,Polygon-Edge,settlement,0,,,,TxnSettlement,freezeAccount,RISK_UPDATE
c173fc9d-2152-4cd8-ab55-6c0abca5ad67,2026-02-23T06:00:28Z,txn-router,users,prod,ap-south-1,t_2,5816ea4f-70d1-4911-bd5d-81cf01ed0b6a,spn_5igkz4ffilsf,ea51cf1c-4333-44cf-99e6-6d3e9e5c130c,u_wqfvo0,,sess_wjpqwoy7gx2nr9bt,,247.169.27.51,GB,396982,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,GET,/api/v1/txns,q=status%3AOK,,809,31,403,4059,ids,,ALLOW,low,0.35,0,,,,crawler,low,,,,2.602592,-32.274485,0,0,Quorum,settlement,0,,,,AccessControl,recordEvent,SUSPECT_FLAG
9f327a7a-438d-49fc-b192-364dce973be6,2026-02-23T06:00:36Z,fraud-ml,admin,prod,eu-west-1,t_2,848471d2-94f5-496a-b856-9f7bc8e55d8a,spn_8hyo1e9mcjoa,0dc7f31b-5711-4b05-a998-1b63552b2fd2,u_98qf7c,,sess_74c362f3waa8xjdf,,68.28.58.78,AU,396982,axios/1.6.8,POST,/api/v1/kyc/submit,,"{""user_id"":""u_1042""}",230,7,200,2005,ids,,LOG,info,0.35,0,,,,crawler,low,,,,-0.66461,-103.283722,0,0,Corda,payments,0,,,,AccessControl,appendAudit,RISK_UPDATE
41ae3c18-cac8-4e9d-9231-d13f6ad61760,2026-02-23T06:00:45Z,wallet-service,ledger-writer,prod,ap-south-1,t_1,0e45dece-6213-4a2e-9c72-edc73f337fc1,spn_c4yeep3rur6z,ae4a2e44-9ae5-42d3-b0a4-f4cec965b16c,u_bvy7l9,acc_dxm2t6km,sess_2llkvw2b05tbkag7,,216.83.120.179,GB,24940,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0 Safari/537.36,GET,/api/v1/admin/report,q=status%3AOK,,1333,200,404,3481,anomaly_model,,ALLOW,info,0.35,0,,,,legit_user,low,,,,44.304702,-28.23429,0,0,HyperledgerFabric,settlement,0,,,,IdentityRegistry,recordEvent,RISK_UPDATE
8543abfc-0e0d-407b-96ed-abaa66ff2216,2026-02-23T06:00:46Z,identity-gateway,api-gateway,prod,ap-south-1,t_3,14bad3e8-ac17-449e-b766-3a84f083ab67,spn_d7a5elz5gbau,9a6c14d8-7b93-4352-b83c-48871e6b4770,u_cq6wpa,acc_0dwzq7j8,sess_80qf8e8f2r2qj1mk,dev_c5ywolv84v,199.208.108.148,US,396982,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0 Safari/537.36,GET,/api/v1/wallet/balance,q=status%3AOK,,541,249,429,2170,waf,,ALLOW,low,0.35,0,,,,crawler,low,,,,12.21385,142.601738,0,0,Polygon-Edge,identity,0,,,,AuditTrail,updateRisk,ACCOUNT_FREEZE
9d3656fe-7f34-40ba-8ea8-3771aee921df,2026-02-23T06:00:49Z,identity-gateway,orders,prod,ap-southeast-1,t_4,2a01987e-becc-45d9-99e6-8e962459fe4a,spn_3kajpv35b335,320527d1-f69a-45c9-ba0a-7c9a27ed673d,u_lcoz7v,acc_fb9ndw2f,sess_qvve4m9nabnzr465,dev_kvdh5uvh7k,137.22.139.142,SG,14061,node-fetch/3.3.2,GET,/api/v1/kyc/submit,q=status%3AOK,,850,354,500,2680,waf,,ALLOW,info,0.35,0,,,,crawler,low,,,,-15.490668,-95.3537,0,0,HyperledgerFabric,settlement,0,,,,IdentityRegistry,updateRisk,RISK_UPDATE
1e192cea-4a80-4166-8992-f39f72287dfc,2026-02-23T06:00:57Z,fraud-ml,api-gateway,prod,eu-west-1,t_1,ffbf6fc7-2f19-403b-802a-b9f68968faf3,spn_zg77ctb7js01,475df761-c848-4858-9606-7489134364dd,u_f3cwn0,,,dev_ofj4mgrl6e,2.241.51.174,AE,20940,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Version/17.2 Safari/605.1.15,GET,/api/v1/users,q=status%3AOK,,505,215,403,1243,ids,,ALLOW,low,0.35,0,,,,legit_user,low,,,,59.770275,153.028718,0,0,Ethereum-Private,identity,0,,,,TxnSettlement,updateRisk,SUSPECT_FLAG
