event_id,timestamp_utc,source_ip,source_country,asn,user_agent,request_method,url_path,query_string,referrer,auth_user,session_id,device_id,geo_lat,geo_lon,request_bytes,response_code,response_bytes,detected_by,waf_rule_id,action,severity,is_sql_injection,injection_type,target_param,dbms_hint,confidence,threat_actor_tag,case_id,correlation_id,mitre_attack_technique,notes
a591b43c-e268-4cc7-b688-edf997a42a96,2026-02-19T12:00:00Z,160.137.7.233,CN,24940,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0 Safari/537.36,GET,/search,q=wireless+mouse,https://example.com/app,,,dev_jlqm5k8p4q0b,54.230363,-99.28002,1023,200,2247,waf,,LOG,low,0,,,,0.35,legit_user,,597efd9d-111d-4cf4-95b0-deb999d40669,,
4114277a-9b0c-4523-8c9a-9c2cb67283a1,2026-02-19T12:00:05Z,160.40.62.33,RU,29802,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,GET,/reset-password,q=wireless+mouse,https://example.com/app,,sess_v8z2flu7u6n7hv3i,,-23.810078,66.333254,1402,403,3244,app_log,,ALLOW,info,0,,,,0.35,crawler,,2f47bd27-020c-4775-b866-2108201ebc1c,,
41e2ea56-54f9-4561-97d4-d9badc0c9eac,2026-02-19T12:00:21Z,95.18.130.166,SG,13335,python-requests/2.31.0,POST,/search,category=electronics&price_max=5000,https://duckduckgo.com,,sess_3zp08j3trp0j43d5,dev_qvnb4gh2m5zj,-58.781866,161.302528,934,200,295,ids,,ALLOW,info,0,,,,0.35,crawler,,e1fe2d07-91f9-4348-a66d-4b54ea627051,,
6bdfb18f-18eb-496d-9946-5802b0f94b49,2026-02-19T12:00:28Z,183.126.115.203,IN,15169,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,POST,/orders,order_id=%27+OR+%271%27%3D%271,https://bing.com,,sess_tm9tmqlizl08yg0j,dev_1v93kmkzebbk,53.290754,49.633076,532,403,846,waf,942500,BLOCK,medium,1,boolean_based,order_id,unknown,0.84,opportunistic,,359fc7ec-325f-45ae-bb63-5c1ecc83513a,T1190,SQL Injection Attack: Time-Based
83513b29-97b7-4435-b63f-d4e35061272c,2026-02-19T12:00:47Z,221.123.30.211,US,396982,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0 Safari/537.36,GET,/api/v1/users,q=blockchain+course,https://google.com,,,dev_iuovw1n6kvpu,-52.772363,165.63916,659,200,2522,app_log,,ALLOW,low,0,,,,0.35,legit_user,,99b877f5-533a-4e7f-8db0-03fe69d78099,,
a08b02a0-2e3f-4afa-93ee-540efb2c9da0,2026-02-19T12:00:50Z,62.45.142.20,GB,13335,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,POST,/product,category=electronics&price_max=5000,,,,,-5.516241,67.458571,639,429,2079,app_log,,ALLOW,low,0,,,,0.35,unknown,,22c3d445-9c49-4f58-be85-f66080e71e98,,
c7b7eee3-32ce-4217-86e4-a047d86c6fa5,2026-02-19T12:01:06Z,30.140.58.166,GB,20940,curl/8.5.0,GET,/login,q=wireless+mouse,https://google.com,,sess_37pqkojtpv60vaiy,,10.454752,-172.531636,1137,403,1057,app_log,,ALLOW,low,0,,,,0.39,unknown,,d2a48e56-8f81-45ed-8ccf-2d800c7cb9d7,,
984b2354-8b09-40e7-8ca4-8f5eb8204106,2026-02-19T12:01:18Z,133.167.114.235,FR,8075,sqlmap/1.7.10#stable,POST,/reset-password,email=suman@example.com,,,sess_ldforxo1bdje153a,,-4.562839,-160.486529,1108,302,2588,ids,,ALLOW,low,0,,,,0.35,legit_user,,07732ce0-0688-4147-bc26-f6e5eb2368cf,,
a642dd1b-990b-4726-a331-78657cb91920,2026-02-19T12:01:32Z,69.141.34.238,FR,14061,python-requests/2.31.0,POST,/search,q=blockchain+course,,,sess_ifttd96qe3rzsj49,dev_tn7s55j2o7s3,-26.059322,-72.519894,688,400,3562,ids,,ALLOW,info,0,,,,0.39,unknown,,48fe19e3-4809-46ad-9e90-dd62f20b4552,,
02c830e5-4fa5-4e6c-be16-8bcc38c36187,2026-02-19T12:01:33Z,86.142.196.140,CN,14061,python-requests/2.31.0,GET,/orders,email=suman@example.com,https://example.com/home,,,dev_lr6n92xf8e8l,-47.956248,124.214192,613,200,3072,waf,,ALLOW,low,0,,,,0.35,legit_user,,5b8c62b5-7318-4102-a017-992a425124ab,,
b3a8229a-6bdf-48a8-98b0-2150de0327c5,2026-02-19T12:01:37Z,121.201.249.68,SG,24940,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Version/17.2 Safari/605.1.15,GET,/admin,q=blockchain+course,https://example.com/app,,sess_lz15bcw790pdw5py,,-54.481084,106.611647,556,200,2059,waf,,ALLOW,low,0,,,,0.35,legit_user,,06b101d3-d9be-4bbc-af6b-e124286d4109,,
10f2cd64-03a3-4f44-a10e-80eab4e3980e,2026-02-19T12:01:47Z,45.21.157.223,CN,24940,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Version/17.2 Safari/605.1.15,POST,/api/v1/users,page=2&sort=latest,https://google.com,,sess_ja26yfpmvxpj4hnr,dev_uu9k9xjuy0bv,-0.392726,145.495905,462,200,1084,app_log,,ALLOW,low,0,,,,0.35,crawler,,07cb394a-0d36-4006-acd0-41ae4d128c34,,
8f80b33b-e30f-4c85-bca5-1a459c25720b,2026-02-19T12:01:56Z,65.174.194.185,AE,29802,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Version/17.2 Safari/605.1.15,GET,/search,q=blockchain+course,https://example.com/app,,sess_pu0dk0get8t63j3r,,29.587122,-58.062509,976,200,1690,waf,,LOG,info,0,,,,0.35,crawler,,44c06dd5-0e68-498d-af2c-6ab36890cddd,,
e9014aa2-48ad-4d6c-87c9-31193c026ec6,2026-02-19T12:02:17Z,94.24.203.102,IN,20940,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0 Safari/537.36,POST,/admin,q=wireless+mouse,https://example.com/app,,sess_nwnyqw7lvxwqzxeb,dev_9eitnn8ztv05,18.590628,120.12951,66,400,3304,ids,,ALLOW,low,0,,,,0.35,unknown,,7ef47e34-f60b-442a-99bd-2dec70f96a7c,,
568a1142-a8e5-4438-a9aa-1a947bccc01e,2026-02-19T12:02:30Z,114.244.61.219,SG,15169,sqlmap/1.7.10#stable,POST,/api/v1/transactions,q=%27%29+OR+%28%271%27%3D%271,https://example.com/app,,sess_ge4qxxva2ieuc1hh,,-20.572854,-126.880495,773,429,2792,waf,942110,CHALLENGE,medium,1,boolean_based,q,postgres,0.87,unknown,,9ea73680-0ef9-4f7b-8853-3eecb2d8ed13,T1190,SQL Injection Attack: Common Injection Testing
a76d469a-3db3-47bb-a643-1a583322a49c,2026-02-19T12:02:46Z,92.203.202.61,AU,45102,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,POST,/login,q=%27+AND+%28SELECT+1+FROM+%28SELECT+COUNT%28%2A%29%2CCONCAT%280x3a%2C%28SELECT+database%28%29%29%2C0x3a%2CFLOOR%28RAND%280%29%2A2%29%29x+FROM+information_schema.tables+GROUP+BY+x%29a%29--,https://google.com,,sess_0r2sds8b25sq8cro,,-1.167738,147.492298,567,200,1848,waf,942120,BLOCK,medium,1,error_based,q,mysql,0.73,botnet-ish,,3a5c7dcd-2d8d-4967-8d5c-d13c893a2043,T1190,SQL Injection Attack: SQL Tautology Detected
2adf30b6-704e-43b8-bceb-098e3744972e,2026-02-19T12:02:58Z,141.183.84.98,AU,9009,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/145.0.0.0 Safari/537.36,POST,/search,report=%27+AND+1%3DCONVERT%28int%2C%28SELECT+%40%40version%29%29--,https://example.com/app,user_b56,,dev_3o0llj8yrddp,29.350676,-45.847131,883,200,3465,waf,942110,BLOCK,medium,1,error_based,report,mssql,0.66,carding_group,,27f9816a-4fe3-40d1-aee5-cef5f23408f4,T1190,SQL Injection Attack: Common Injection Testing
